Title,Price,Location,Date
Смартфон Apple iPhone 14 Pro 128GB Purple (107030) Б/У З ГАРАНТІЄЮ,32 999 грн.,"Дніпро, Шевченківський",Сьогодні о 14:44
Смартфон Apple iPhone 14 Pro 128GB Purple (107134) Б/У З ГАРАНТІЄЮ,31 499 грн.,"Дніпро, Шевченківський",Сьогодні о 14:28
Смартфон Samsung A02s (A025F) 3/32,"550 грн.
Договірна",Червоноград,Сьогодні о 14:26
"Плотер для гідрогелевих плівок на смартфони, планшети, смарт-годинники",4 900 грн.,Чернівці,08 травня 2024 р.
Apple iPhone XR на 64 Gb Neverlock Айфон Хр Неверлок Смартфон,"6 590 грн.
Договірна",Полтава,04 травня 2024 р.
Нові! Смартфони Xiaomi Redmi 10C 12C 13C 3/64/128 NFC. Опт.,3 649 грн.,Бердичів,17 травня 2024 р.
Смартфон Redmi Note 8T мобильный телефон,1 900 грн.,Кременчук,Сьогодні о 14:16
Кріплення смартфона Quad Lock Handlebar,"1 800 грн.
Договірна",Петропавлівська Борщагівка,19 травня 2024 р.
Смартфон Xiaomi Redmi Note 8T NFC 32 Gb,"2 000 грн.
Договірна",Світловодськ,Сьогодні о 11:19
•ГАРАНТІЯ•Новий Телефон/Смартфон WIKO T20 4/128GB Blek/чорний,4 500 грн.,"Львів, Галицький",19 травня 2024 р.
Смартфон Iphone 13,19 000 грн.,Чернівці,19 травня 2024 р.
"Телефон LG V60 ThinQ 8/128GB смартфон,google,iphone,андроид,камерофон","5 400 грн.
Договірна",Івано-Франківськ,18 травня 2024 р.
Потужний Смартфон MOTOROLA Edge 20 8/128Gb,6 900 грн.,"Київ, Оболонський",Сьогодні о 14:26
"Смартфони Redmi 2шт Note 10 Pro 6+1/128GB, Mi 9 128.",9 000 грн.,Олевськ,09 травня 2024 р.
Смартфон Samsung Galaxy S20 Ultra,"3 495 грн.
Договірна",Кам'янське,Сьогодні о 11:21
Смартфон Redmi 9A Granite Gray/ 2 GB RAM/ 32 GB ROM,"900 грн.
Договірна",Чернівці,Сьогодні о 14:26
Смартфон самсунг,"130 грн.
Договірна",Лубни,14 травня 2024 р.
Смартфон Redmi 7,"1 120 грн.
Договірна","Львів, Франківський",17 травня 2024 р.
Смартфон в неплохом состоянии,300 грн.,"Харків, Індустріальний",04 травня 2024 р.
Мегалот !!! Смартфони на відновлення!!!,"525 грн.
Договірна",Диканька,18 травня 2024 р.
Смартфон Xiaomi 11,6 500 грн.,"Львів, Франківський",Сьогодні о 00:37
"Samsung galaxy a12, мобільний телефон, смартфон 4/64",1 799 грн.,Івано-Франківськ,Сьогодні о 14:17
